<Eugénie-3301>_1,<le père-2169>_2,<monsieur Grandet-943>_3,<Grandet au Tribunal de Première Instance-2317>_4,<Eugénie-1205>_5,<Eugénie et sa mère-1499>_6,<Eugénie-1353>_7,<un homme-191>_8,<l'-2932>_9
<Eugénie-3301>,<lui-2132>,<Charles-920>,<Charles-2316>,<Eugénie-1205>,<Grandet-1486>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<les-950>,<Charles-2316>,<lui-1215>,<Grandet-1486>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<Cornoiller-3306>,<lui-2132>,<une petite sotte-946>,<Grandet au Tribunal de Première Instance-2317>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Il-1350>,<un homme-191>,<l'-2932>
<Cornoiller-3306>,<lui-2132>,<une petite sotte-946>,<Charles-2316>,<Eugénie-1205>,<Grandet-1486>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<le facteur de poste-3308>,<lui-2132>,<monsieur Grandet-943>,<Charles-2316>,<Eugénie-1205>,<Songe-1505>,<Eugénie-1353>,<les petits propriétaires-193>,<l'-2932>
<le facteur de poste-3308>,<le père-2169>,<monsieur Grandet-943>,<Grandet au Tribunal de Première Instance-2317>,<ce type d' enfants fortement constitués-1216>,<Eugénie et sa mère-1499>,<Il-1350>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<madame des Grassins-947>,<Charles-2316>,<enfants fortement constitués-1217>,<Grandet-1486>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<le père-2169>,<Charles-920>,<Charles-2316>,<ce type d' enfants fortement constitués-1216>,<le fils de votre frère-1506>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<Dieu-2173>,<madame des Grassins-947>,<Grandet au Tribunal de Première Instance-2317>,<la petite bourgeoisie-1218>,<Grandet-1486>,<Il-1350>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<monsieur Grandet-943>,<Charles-2316>,<ce type d' enfants fortement constitués-1216>,<Grandet-1486>,<Il-1350>,<un homme-191>,<l'-2932>
